sep=;
"Version";"4"
"Language";"en-US"
"Local export date";"23.07.2025 14:59:19"
"Export UTC date";"2025-07-23T17:59:19.042Z"
"Time zone";"America/Sao_Paulo"
"User name";"mmcanamary@hotmail.com"
"Level";"System"
"System ID";"11514561"
"System name";"Márcio Canamary - 33,44kWp"
"";""
"Time period";"Total yield [kWh]"
"06/01/2025";"129.90"
"06/02/2025";"137.18"
"06/03/2025";"117.63"
"06/04/2025";"123.87"
"06/05/2025";"120.61"
"06/06/2025";"118.43"
"06/07/2025";"138.68"
"06/08/2025";"123.87"
"06/09/2025";"124.59"
"06/10/2025";"120.47"
"06/11/2025";"127.96"
"06/12/2025";"128.25"
"06/13/2025";"139.49"
"06/14/2025";"146.37"
"06/15/2025";"126.23"
"06/16/2025";"138.63"
"06/17/2025";"139.05"
"06/18/2025";"124.13"
"06/19/2025";"107.28"
"06/20/2025";"69.20"
"06/21/2025";"94.85"
"06/22/2025";"136.52"
"06/23/2025";"137.15"
"06/24/2025";"126.58"
"06/25/2025";"137.18"
"06/26/2025";"116.52"
"06/27/2025";"142.62"
"06/28/2025";"93.94"
"06/29/2025";"99.11"
"06/30/2025";"121.44"
