sep=;
"Version";"4"
"Language";"en-US"
"Local export date";"23.07.2025 14:59:45"
"Export UTC date";"2025-07-23T17:59:45.019Z"
"Time zone";"America/Sao_Paulo"
"User name";"mmcanamary@hotmail.com"
"Level";"System"
"System ID";"11514561"
"System name";"Márcio Canamary - 33,44kWp"
"";""
"Time period";"Total yield [kWh]"
"07/01/2025";"119.49"
"07/02/2025";"73.34"
"07/03/2025";"149.75"
"07/04/2025";"138.35"
"07/05/2025";"156.16"
"07/06/2025";"136.25"
"07/07/2025";"114.34"
"07/08/2025";"153.55"
"07/09/2025";"149.89"
"07/10/2025";"61.35"
"07/11/2025";"122.68"
"07/12/2025";"154.20"
"07/13/2025";"150.54"
"07/14/2025";"148.11"
"07/15/2025";"153.22"
"07/16/2025";"150.74"
"07/17/2025";"151.17"
"07/18/2025";"149.55"
"07/19/2025";"143.42"
"07/20/2025";"130.51"
"07/21/2025";"127.18"
"07/22/2025";"160.82"
"07/23/2025";"129.37"
